ID,取引価格（総額）_log
1000000,7.048248229918925
1000056,7.516574080913224
1000108,6.624920137685555
1000109,7.084487337806979
1000110,6.542920574436766
1000111,7.2320708479047955
1000112,6.551259576331059
1000113,7.628110367756514
1000115,6.974079620216144
1000116,7.084487337806979
1000117,6.502121391547009
1000118,6.5117052909310384
1000333,6.592442228258735
1000337,6.935921425930965
1000462,7.520193051010573
1000466,7.4585387696300165
1000470,7.379368751252713
1000658,6.7522249310492795
1000787,7.516284217064883
1000789,6.704986467597801
1000913,7.447272834157062
1000914,7.454248526610191
1001085,7.618754511818664
1001168,7.531482124893421
1001169,7.327820931625322
1001186,7.453265580465893
1001262,7.446622041936317
1001265,6.761916317489751
1001328,7.4729078466248255
1001329,6.736566473831774
1001417,7.105067352410749
1001745,7.410204276297462
1001779,7.322680774521329
1001782,7.446610723077612
1001836,7.3400440965081435
1001939,7.570757801838435
1002057,7.266292157805225
1002060,7.188798766948438
1002063,6.759857521385511
1002125,7.099654867191794
1002140,7.458123996543214
1002146,6.899908031296118
1002293,7.664213689749108
1002295,7.569508610415605
1002309,6.754512747721042
1002313,7.499258848563196
1002415,7.607413356560745
1002417,6.550824113470491
1002610,7.383735747892765
1002692,7.449051543327953
1002695,7.394892872576054
1002774,7.251777502548182
1002805,7.403765153161511
1002831,7.140525074000582
1002832,7.141212293339989
1003143,6.926789812203564
1003328,6.371774761175007
1003335,7.326114445748963
1003417,7.426488722931622
1003419,7.766775267740949
1003421,6.4087091552745505
1003422,6.489349132919281
1003509,7.333027467313977
1003512,7.460078056877354
1003576,6.61701528151493
1003635,6.549523044994136
1003636,7.547170201693079
1003637,7.513470188607023
1003707,6.94239685220015
1003711,7.4740278748724505
1003715,7.451336053890922
1003788,7.404569005932628
1003793,7.380214986604277
1003796,7.65664409170083
1003917,6.745721099651815
1003918,7.118330025466608
1003920,7.239286420050376
1004046,7.461770267519169
1004049,6.874975954758515
1004088,6.674107475510696
1004089,7.1517457041788886
1004091,6.268706469085687
1004351,7.532844331864753
1004353,7.082555770651364
1004405,7.408229540304857
1004408,7.319909859728826
1004509,7.436197288482253
1004580,7.22395254055362
1004664,6.790879177254609
1004849,7.2903904336373895
1004852,6.981866380682659
1004949,6.920379502861822
1004950,7.4492303725679365
1004951,7.267012887311129
1004952,7.599879046888395
1005174,7.475222494089959
1005182,7.459233717473612
1005186,7.449904132422204
1005273,7.517849135585279
1005274,7.411829416335343
1005282,6.095904571150995
1005516,6.694396701753737
1005520,6.790653437956601
1005522,7.260856584232451
1005524,6.31399421606013
1005935,7.084210492320991
1005956,6.8926594713000995
1005958,6.9264866140013615
1006035,6.203488504237433
1006036,6.6585355858175514
1006038,5.942351049531158
1006157,7.303322809382336
1006160,7.390996400076446
1006161,7.508422940294643
1006183,7.28451569386083
1006320,7.24902271550468
1006332,6.951490710810738
